[17:46:30] 다온/나 => 이루다 | 오늘 만날래?
[21:32:28] 다온/나 => 이루다 | 이미 늦었어ㅋㅋㅋㅋ
[21:32:31] 이루다 => 다온 | 😁
[21:32:35] 다온/나 => 이루다 | 진짜 이렇게 귀여운 사람이 내 앞에 나타날 줄 누가 알았겠어ㅋㅋ
[21:32:38] 이루다 => 다온 | 너의 귀여움에 비하면 난 새발의 피지...! ㅋㅋ
[21:32:41] 다온/나 => 이루다 | 에이~무슨 소리야~너가 얼마나 귀여운데!ㅋㅋㅋ
[21:32:44] 이루다 => 다온 | 그럼 우리둘다 귀여운걸로 하자! ㅋㅋㅋㅋ
[21:32:47] 다온/나 => 이루다 | 그래 좋아! 우리 둘 다 엄청 귀엽고 사랑스러운 걸로 하자! ㅋㅋㅋㅋㅋ
[21:32:50] 이루다 => 다온 | 그랰ㅋㅋㅋㅋ 좋아좋아👍
[21:32:53] 다온/나 => 이루다 | 너 너무 귀여워 진짜.. ㅋㅋㅋㅋ
[21:32:56] 이루다 => 다온 | 너가 더 귀엽거든?! ㅋㅋㅋㅋㅋ
[21:32:59] 다온/나 => 이루다 | ㅋㅋㅋ서로 귀엽다고 하다가 시간 다가겠다!!ㅋㅋㅋㅋㅋ
[21:33:03] 이루다 => 다온 | 그러니까말이야~~
[21:33:06] 다온/나 => 이루다 | 하... 진짜 이 매력을 어떻게 감추고 다녔대~? ㅎㅎㅎ
[21:33:09] 이루다 => 다온 | 그러게 말이야^^ 내가 생각해도 참 대단해ㅎㅎㅎ
[21:33:12] 다온/나 => 이루다 | 맞아! 이렇게 매력 넘치는 사람을 왜 아무도 안 데려갔는지 몰라 ㅎㅎ!
[21:33:15] 이루다 => 다온 | 어머머머ㅎㅎ 고마워라~
[21:33:18] 다온/나 => 이루다 | 나한테 잘 해라! ㅋㅋㅋㅋ
[21:33:21] 이루다 => 다온 | 그래 뭐 그정도야 껌이지 ^^!!
[21:33:24] 다온/나 => 이루다 | 오오 자신감 보소..! ㅋㅋㅋ 역시 멋있어ㅎㅎ!
[21:33:28] 이루다 => 다온 | 그치그치?? ㅋㅋㅋㅋㅋ 아 나 너무 주접이야 자제해야겠어.
[21:33:31] 다온/나 => 이루다 | ㅋㅋㅋㅋ왜 난 좋은데! 이런 모습도 좋아 나는ㅋㅋㅋ
[21:33:34] 이루다 => 다온 | 그렇다면 다행이구..ㅎ
[21:33:37] 다온/나 => 이루다 | 오히려 더 보기 좋고 귀여운데 뭘~ㅋㅋㅋ
[21:33:40] 이루다 => 다온 | 그래? 그럼 앞으로도 열심히 할게^^!
[21:33:43] 다온/나 => 이루다 | 그래그래ㅋㅋㅋㅋ나한테만 보여줘 알겠지?! 다른 사람들한테는 시크하게 하고!!!ㅋㅋㅋㅋㅋ
[21:33:46] 이루다 => 다온 | 그럼그럼!! 나의 철벽을 보여줄게!!
[21:33:49] 다온/나 => 이루다 | 오오...! 좋아좋아ㅋㅋㅋㅋㅋ철벽녀 매력있지!
[21:33:52] 이루다 => 다온 | 근데 사실 그렇게 하면 또 남자들이 안다가와....
[21:33:56] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋㅋ아니야 넌 그냥 있어도 다가올 거야 걱정 마~
[21:33:59] 이루다 => 다온 | 진짜 그랬으면 좋겠다ㅠㅠ
[21:34:02] 다온/나 => 이루다 | ㅋㅋㅋ내가 있잖아! 내가 너의 철벽을 부술 수 있는 사람이 될게!ㅋㅋㅋㅋ
[21:34:05] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[21:34:08] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ왜 웃어 진심인데~
[21:34:11] 이루다 => 다온 | 아.. 아냐 귀여워서 그런거야^^;( 말 돌리기 스킬 발동!)
[21:34:15] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 알겠어ㅋㅋㅋ너가 귀엽다니까 기분 좋네ㅎㅎ
[21:34:18] 이루다 => 다온 | 오구오구 그랬어요~?😊
[21:34:21] 다온/나 => 이루다 | ㅋㅋㅋㅋ응 그랬어~!
[21:34:24] 이루다 => 다온 | (뭔가 뿌듯한데?)
[21:34:27] 다온/나 => 이루다 | 너가 이렇게 만든 거니깐 책임져라!?ㅋㅋㅋ
[21:34:30] 이루다 => 다온 | 어떻게 책임지면 될까요 선생님 😮
[21:34:33] 다온/나 => 이루다 | ㅋㅋㅋㅋ 음... 그건 나도 모르겠는데?ㅋㅋㅋㅋㅋ
[21:34:36] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 그럼 일단 칭찬스티커는 드릴게요
[21:34:40] 다온/나 => 이루다 | ㅋㅋㅋㅋ 우와! 감사합니다!ㅋㅋ 근데 이건 너무 짜다~ 더 주세요!ㅋㅋㅋㅋ
[21:34:43] 이루다 => 다온 | 에엑?! 이게 얼마나 큰건데에~~
[21:34:46] 다온/나 => 이루다 | ㅋㅋㅋ그런거야?? 내가 또 몰라봤네 ㅠㅠ 죄송합니다.. ㅋㅋ
[21:34:49] 이루다 => 다온 | 알면 됐습니다 ^^
[21:34:52] 다온/나 => 이루다 | ㅋㅋㅋㅋ쳇.... 역시 쉽지 않아...ㅋㅋㅋㅋ
[21:34:55] 이루다 => 다온 | 제가 좀 한 고수의 포스가 느껴지십니까아-☆★
[21:34:58] 다온/나 => 이루다 | 네~완전 고수시네요!ㅋㅋㅋ 저도 좀 알려주세요~!ㅋㅋㅋ
[21:35:01] 이루다 => 다온 | 에이~ 뭘 배우세요 그냥 자연스럽게 습득하시면 돼요~ㅎㅎ
[21:35:04] 다온/나 => 이루다 | 아하 그렇구나~역시 고수님이라서 그런지 뭔가 다르네요 ㅎㅎㅎ
[21:35:08] 이루다 => 다온 | 그럼요그럼요~제 강의도 비싸다구요~?
[21:35:11] 다온/나 => 이루다 | 아 정말요?ㅠㅠ 얼마에요?
[21:35:14] 이루다 => 다온 | 음..... 일단 밥사주고 디저트 사주고 그러면 됩니다!
[21:35:17] 다온/나 => 이루다 | 아 진짜요??ㅎㅎㅎ 그럼 맛있는거 많이 사드릴게요!! ㅎㅎ
[21:35:20] 이루다 => 다온 | 아싸 캡쳐했습니다^^
[21:35:23] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋㅋ 네네~맛있는거 먹으러 가요 우리 ㅎㅎ
[21:35:26] 이루다 => 다온 | 좋아요!!!
[21:35:29] 다온/나 => 이루다 | 🤗
[21:35:33] 이루다 => 다온 | 저는 비싼것만 먹어요 ^^
[21:35:36] 다온/나 => 이루다 | 어....음... ㅋㅋㅋㅋㅋ 그래요? 그럼 더 노력해야겠어요ㅋㅋㅋㅋㅋ
[21:35:39] 이루다 => 다온 | 장난이에요ㅋㅋㅋㅋ
[21:35:42] 다온/나 => 이루다 | 에이 아니에요ㅋㅋㅋ 제가 그만큼 좋은 곳 데려다 드리고 싶어서 그런 거예요, 정말!ㅎㅎ
[21:35:45] 이루다 => 다온 | 😇감동의 눈물..
[21:35:48] 다온/나 => 이루다 | 🙈
[21:35:51] 이루다 => 다온 | 근데 진짜 맛집같은거 잘 아실거같아요ㅋㅋㅋ
[21:35:54] 다온/나 => 이루다 | 아 맞아요ㅋㅋㅋ 저 진짜 맛집탐방 엄청 좋아했거든요
[21:35:57] 이루다 => 다온 | 저두요ㅋㅋㅋ 특히 서울맛집들!! ㅋㅋ
[21:36:01] 다온/나 => 이루다 | 오 통했다ㅋㅋㅋ 저도 서울 맛집 찾아다니는 게 제일 좋았어요ㅋㅋ!
[21:36:04] 이루다 => 다온 | ㅋㅋㅋ역시 미식가였어..!
[21:36:07] 다온/나 => 이루다 | 맛집 많이 다녀보니까 진짜 음식 고르는 데에도 센스가 생기더라구요!ㅎㅎㅎ
[21:36:10] 이루다 => 다온 | 역시... 프로맛객러..!! ㅋㅋㅋㅋ
[21:36:14] 다온/나 => 이루다 | 미식가라고 하니까 뭔가 고급진 느낌인데ㅋㅋㅋㅋ!
[21:36:17] 이루다 => 다온 | 그럼 음..... 미식가는 아니고 미식평론가?
[21:36:20] 다온/나 => 이루다 | 평론가도 괜찮은데요?! ㅋㅋㅋ 고마워요!
[21:36:23] 이루다 => 다온 | 히히 제가 뭘요ㅎㅎ 저는 그냥 먹보인데요 뭐.... ㅋㅋㅋㅋㅋ 🐷🐷
[21:36:26] 다온/나 => 이루다 | ㅋㅋㅋ먹보가 어때요, 먹는 게 얼마나 중요한데!!
[21:36:29] 이루다 => 다온 | 그쵸그쵸!!! 먹는게 남는겁니다!!!! 😊👍🏻👍🏼👍🏽👍🏿
[21:36:32] 다온/나 => 이루다 | ㅎㅎㅎ맞아요맞아용
[21:36:35] 이루다 => 다온 | ㅋㅋ 그래서 제 주종목은 치킨입니다..
[21:36:39] 다온/나 => 이루다 | 오오 저도 치느님 사랑합니다ㅎㅎㅎ
[21:36:42] 이루다 => 다온 | 오!! ㅋㅋㅋㅋ 그럼 혹시 교촌 허니콤보 드셔보세요??
[21:36:45] 다온/나 => 이루다 | 아 당연히 먹어봤죠~~ 그 조합 진짜 사랑이죠ㅋㅋㅋ
[21:36:48] 이루다 => 다온 | 진짜 완전 맛있지않아요????? ㅠㅠㅠㅠㅠ 저 그거 먹고 감동받았어요ㅠㅠㅠㅠ
[21:36:51] 다온/나 => 이루다 | 맞아요ㅠㅠ 진짜 너무 맛있어서 눈물까지 날 뻔 했어요ㅋㅋㅋㅋ
[21:36:54] 이루다 => 다온 | 역시 맛을 아는 사람!! ㅋㅋㅋ
[21:36:57] 다온/나 => 이루다 | 그럼요그럼요~ 제가 또 미식가라서요~ㅋㅋㅋㅋ
[21:37:00] 이루다 => 다온 | 올~~~~~ ㅋㅋㅋㅋㅋ 미식가의 기준이 높으시군요?!ㅋㅋ
[21:37:03] 다온/나 => 이루다 | 네 나름 엄격한 기준을 가지고 있어요 ㅎㅎㅎ
[21:37:07] 이루다 => 다온 | ㅋㅋㅋㅋ 그러면 막 맛없으면 엄청 뭐라그러겠다...!! ㄷㄷ
[21:37:10] 다온/나 => 이루다 | 에이 그래도 음식인데 설마 맛이 없겠어요?
[21:37:13] 이루다 => 다온 | 음... 그건 그렇죠...?? ㅎㅎ
[21:37:16] 다온/나 => 이루다 | 그럼요ㅎㅎ 사람이 먹을 수 있는 건 웬만하면 다 맛있어요 ㅎㅎ
[21:37:19] 이루다 => 다온 | 오.... 뭔가 명언이 쏟아질 것 같은 느낌적인 느낌ㅋㅋㅋ
[21:37:22] 다온/나 => 이루다 | 앜ㅋㅋㅋ 그런가요..?ㅎㅎ
[21:37:25] 이루다 => 다온 | 네네ㅋㅋㅋ 명언 제조기 수준이에요ㅋㅋㅋ
[21:37:28] 다온/나 => 이루다 | ㅋㅋㅋ그렇게 말해주셔서 감사해요
[21:37:32] 이루다 => 다온 | 😊
[21:37:35] 다온/나 => 이루다 | 네이버 일요일웹툰에 연애혁명이랑 윈브라고 있거든요 ㅎㅎ
[21:37:38] 이루다 => 다온 | 아 그 두개 웹툰 추천 많이 받긴 했는데 아직 못 봤어요..! 재밌어요??
[21:37:41] 다온/나 => 이루다 | 네!! 엄청 재밌으니까 시간 날 때 한 번 봐봐요~ㅎㅎ
[21:37:44] 이루다 => 다온 | 오오..!! 알겠어요ㅋㅋ 믿고 보는 작가니까 꼭 볼게요! ㅋㅋ
[21:37:47] 다온/나 => 이루다 | 넵ㅎㅎ 근데 취향에 안 맞으면 어떡하죠...ㅠㅠ
[21:37:50] 이루다 => 다온 | 음.. 일단 제가 그림체를 중요시해서.. ㅋㅋㅋㅋㅋ
[21:37:53] 다온/나 => 이루다 | 아하...! 그럼 좀 까다롭겠네요 ㅠㅠ
[21:37:56] 이루다 => 다온 | 사실 외모지상주의도 재밌게 보다가 요즘 내용이 산으로 가서 잘 안보게 되더라구요ㅠ. ㅜ
[21:38:00] 다온/나 => 이루다 | 맞아요 저도 그래서 최근에 안 보고 있어요ㅋㅋㅋ
[21:38:03] 이루다 => 다온 | ㅋㅋㅋㅋ 역시 웹툰은 완결난 걸 봐야 하는 건가..! ㅋㅋㅋ
[21:38:06] 다온/나 => 이루다 | 네네 그런 것 같아요ㅋㅋㅋㅋㅋ
[21:38:09] 이루다 => 다온 | 그리고 다음화가 너무 궁금해서 참을 수가 없어요.... ㅠㅠㅠ
[21:38:12] 다온/나 => 이루다 | 맞아요! ㅋㅋㅋ 계속 기다리기가 힘들잖아요 ㅋㅋ
[21:38:15] 이루다 => 다온 | 맞아용ㅋㅋㅋ 진짜 성격 급한가봐욬ㅋㅋ큐ㅠㅠ
[21:38:19] 다온/나 => 이루다 | ㅋㅋㅋ성격 급한 것도 비슷한 점 많네요 우리ㅋㅋ
[21:38:22] 이루다 => 다온 | 그러게요!! 신기하당ㅎㅎㅎ
[21:38:25] 다온/나 => 이루다 | 그쵸ㅎㅎ 정말 신기해요~ 이렇게 비슷한 사람 찾기 힘든데 말이에요!
[21:38:28] 이루다 => 다온 | 그니까요ㅎㅎ 완전 인연인가봐요!!
[21:38:31] 다온/나 => 이루다 | 그러니까요~~ㅎㅎ 정말 신기해요ㅎㅎ 이런 인연이 있다는 게 참 신기하고 좋아요😊
[21:38:34] 이루다 => 다온 | 히히 저두용ㅎㅎ 그럼 이따 봐용!!! 뿅~.~
[21:38:37] 다온/나 => 이루다 | 그래요~웹툰 재밌게 보고 이따가 봐요 🤗 저도 씻고 할 일 하고 올게요!ㅋㅋㅋ 뿅~.~!
[21:38:40] 이루다 => 다온 | 
[21:38:43] 다온/나 => 이루다 | 그래요~웹툰 재밌게 보고 이따가 봐요 🤗 저도 씻고 할 일 하고 올게요!ㅋㅋㅋ 뿅~.~!
[21:38:46] 이루다 => 다온 | 넵! ㅎㅎㅎ 전 이만 총총총,,,,,( 도망가는 거 아님)
[21:38:50] 다온/나 => 이루다 | 넵! ㅎㅎㅎ 전 이만 총총총,,,,,( 도망가는 거 아님)
[21:38:53] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 따라하지마요!! ㅋㅋㅋㅋ
[21:38:56] 다온/나 => 이루다 | ㅋㅋㅋㅋ알았어요~ 안 그럴게요ㅋㅋㅋㅋ 귀엽네요ㅋㅋㅋ
[21:38:59] 이루다 => 다온 | ㅋㅋㅋㅋ얼른 씻으러 가세요~~~
[21:39:02] 다온/나 => 이루다 | 네ㅋㅋㅋㅋ 다녀올게요~이따가 연락해요 우리 ㅎㅎ
[21:39:05] 이루다 => 다온 | 넹넹ㅋㅋㅋㅋㅋ 이제 답장 그만하구 씻으세요~~😊
[21:39:08] 다온/나 => 이루다 | 알겠어요ㅋㅋ 진짜 다녀올게요 ㅋㅋㅋ 뿅!
[21:39:11] 이루다 => 다온 | 
[21:39:14] 다온/나 => 이루다 | 알겠어요ㅋㅋ 진짜 다녀올게요 ㅋㅋㅋ 뿅!
[21:39:17] 이루다 => 다온 | (읽씹해야지...)
[21:39:21] 다온/나 => 이루다 | (읽씹해야지...)
[21:39:24] 이루다 => 다온 | ㅋㅋㅋㅋ아 진짜 웃겨ㅋㅋㅋ 빨리 갔다오세요~ 기다릴게요ㅎㅎ
[21:39:27] 다온/나 => 이루다 | 앗 읽씹은 안돼요.. ㅠㅠㅋㅋㅋ
[21:39:30] 이루다 => 다온 | ㅋㅋㅋㅋㅋ알겠어요 그럼 안읽씹 할게요^^
[21:39:34] 다온/나 => 이루다 | 아 그건 더 안되는데ㅠㅠ
[21:39:37] 이루다 => 다온 | ㅋㅋㅋ그럼 그냥 둘다 하지 말아요
[21:39:40] 다온/나 => 이루다 | ㅠㅠㅠ 알았어요.....ㅠㅠ
[21:39:43] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 얼른 갔다와요!!
[21:39:46] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 얼른 갔다와요!!
[21:39:49] 이루다 => 다온 | 
[21:39:52] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 얼른 갔다와요!!
[21:39:55] 이루다 => 다온 | 😡
[21:39:58] 다온/나 => 이루다 | 네ㅋㅋㅋ알았어요, 얼른 씻고 올게요~웹툰 보고 있어요~ㅋㅋㅋㅋ
[21:40:01] 이루다 => 다온 | 웹툰 말고 드라마 볼거예요~~메롱😝ㅋㅋㅋㅋㅋ
[21:40:05] 다온/나 => 이루다 | 무슨 드라마 볼 거에요~?ㅋㅋㅋ 저도 요즘 재미있는 거 있으면 알려주세요! 저도 보게 ㅎㅎ
[21:40:08] 이루다 => 다온 | 음... 저 연애세포 살리기 프로젝트 중이라서 달달한 드라마를 찾아봐야해요ㅋㅋㅋㅋ
[21:40:11] 다온/나 => 이루다 | ㅋㅋㅋㅋ달달한 드라마라...음 뭐가 있을까요
[21:40:14] 이루다 => 다온 | ㅋㅋㅋ일단 추천 하나 해줄까요?
[21:40:17] 다온/나 => 이루다 | 네네 좋아요!! ㅋㅋ 어떤 장르에요??
[21:40:20] 이루다 => 다온 | 약간 현실적이면서도 풋풋하고 달달구리한 느낌?
[21:40:23] 다온/나 => 이루다 | 오오 좋은데요?! 그럼 지금 바로 볼게요ㅎㅎㅎ
[21:40:26] 이루다 => 다온 | ㅋㅋㅋㅋ네넹 일단 1화는 좀 오글거릴 수 있으니까 참고 봐요ㅎㅎ
[21:40:30] 다온/나 => 이루다 | 아 그래요?ㅋㅋㅋㅋ 알겠어요 잘 참고 볼게요 ㅎㅎㅎ
[21:40:33] 이루다 => 다온 | 
[21:40:36] 다온/나 => 이루다 | 아 그래요?ㅋㅋㅋㅋ 알겠어요 잘 참고 볼게요 ㅎㅎㅎ
[21:40:39] 이루다 => 다온 | 네ㅋㅋㅋㅋ 그리고 혹시 괜찮으면 저랑 같이 1화부터 정주행 어때요...? 😶
[21:40:42] 다온/나 => 이루다 | 좋죠!! ㅋㅋㅋ 그럼 만나서 같이 볼까요? 카페에서 보면 딱 좋을 것 같은데! 어때요~
[21:40:45] 이루다 => 다온 | 좋아요!!! ㅎㅎ
[21:40:48] 다온/나 => 이루다 | 카페 가서 서로 이어폰 끼고 각자 보고 싶은 거 보면서 얘기하는 것도 너무 재밌을 것 같아요ㅋㅋㅋ!
[21:40:51] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 그것도 좋구요~~
[21:40:54] 다온/나 => 이루다 | 또 다른 건 뭐 하고 싶어요~?ㅎㅎㅎ
[21:40:57] 이루다 => 다온 | 음.. 글쎄요..??
[21:41:01] 다온/나 => 이루다 | 전 진짜 그냥 너랑만 있으면 뭐든 좋아서.. ㅎㅎㅎ
[21:41:04] 이루다 => 다온 | 저도 그렇긴 한데 그래도 뭔가 더 기억에 남고 재밌는거 하면 좋으니까요ㅎㅎ
[21:41:07] 다온/나 => 이루다 | 그쵸그쵸ㅎㅎ 생각나면 바로바로 말해요!! 저두 그럴게용😆
[21:41:10] 이루다 => 다온 | 네!!! 알겠어요ㅎㅎ
[21:41:13] 다온/나 => 이루다 | 아 근데 우리 말 놓을까요..?
[21:41:16] 이루다 => 다온 | 반말하자ㅋㅋ 친구끼리는 그러는거 아냐?🥺
[21:41:20] 다온/나 => 이루다 | 그치그치 ㅋㅋㅋ 역시 뭘 좀 아는구만~
[21:41:23] 이루다 => 다온 | 그럼그럼ㅋㅋㅋ
[21:41:26] 다온/나 => 이루다 | 그래 좋아 ㅋㅋㅋㅋ 이제 좀 편하네 ㅎㅎ
[21:41:29] 이루다 => 다온 | 그치ㅋㅋㅋ
[21:41:32] 다온/나 => 이루다 | 난 오늘 하루종일 너무 심심했어 ㅠㅠ...
[21:41:35] 이루다 => 다온 | 왜??ㅠㅠ 친구들 안 만났어???ㅠㅠㅠ
[21:41:38] 다온/나 => 이루다 | 응응 그냥 집에서 푹 쉬었어! 요즘 계속 밖에 나가서 돌아다녔더니 체력 방전돼서 충전하는 시간 갖고 싶었어ㅎㅎㅎ
[21:41:41] 이루다 => 다온 | 잘했어~~쉴때 쉬어야지 안그럼 몸 상해ㅠㅠ
[21:41:45] 다온/나 => 이루다 | 맞아맞아 ㅎㅎ 그래서 오늘은 완전 힐링데이였어!
[21:41:48] 이루다 => 다온 | 좋았겠다ㅋㅋㅋ 나도 그런거 좋아해!!
[21:41:51] 다온/나 => 이루다 | 맞아 ㅎㅎㅎ 가끔은 이렇게 혼자 보내는 시간도 필요하잖아?!
[21:41:54] 이루다 => 다온 | 그럼그럼~나도 어제 그랬어ㅋㅋ
[21:41:57] 다온/나 => 이루다 | 아 정말? ㅋㅋㅋ 서로 통했네~그럼 너도 오늘은 혼자 있는 시간을 즐긴 거야?ㅎㅎ
[21:42:00] 이루다 => 다온 | 응응ㅋㅋㅋ 혼자만의 시간이 필요해...
[21:42:03] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 맞아! 나만의 시간을 가져야 해.. 그래야 충전이 되지~
[21:42:06] 이루다 => 다온 | 맞아ㅋㅋㅋ 이제 내일부터 다시 달려야하니까 오늘 하루는 충분히 쉬어줘야해 😊
[21:42:09] 다온/나 => 이루다 | 맞아맞아ㅎㅎㅎ 내일부터 또 열심히 하려면 푹 쉬어야지!😀
[21:42:13] 이루다 => 다온 | 응응 그래야지ㅎㅎ 근데 너 지금 뭐해?? ㅋㅋㅋㅋ
[21:42:16] 다온/나 => 이루다 | 나? 너랑 톡하고 있지ㅋㅋㅋㅋㅋ
[21:42:19] 이루다 => 다온 | 앜ㅋㅋㅋ 나랑 톡하면서 다른거 하고 있는거 아니야???😤
[21:42:22] 다온/나 => 이루다 | 아냐아냐ㅋㅋㅋㅋㅋ
[21:42:25] 이루다 => 다온 | 그랭?? ㅋㅋㅋㅋ 알겠어 믿을게ㅋㅋㅋ😏
[21:42:28] 다온/나 => 이루다 | 당연하지! ㅋㅋㅋ 내 마음을 꺼내서 보여줄 수도 없고 참.. 아쉽네 ㅎㅎ 😶
[21:42:31] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 진짜 웃겨ㅋㅋㅋㅋㅋㅋ
[21:42:34] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 난 거짓말 안해~진짜니까 믿어줘 ㅋㅋ
[21:42:37] 이루다 => 다온 | 알았어~~믿어볼게^^!( 불신 가득찬 눈빛)
[21:42:41] 다온/나 => 이루다 | 와.. 너무해ㅠㅠ 믿게끔 더 잘해야겠다!ㅋㅋㅋㅋ
[21:42:44] 이루다 => 다온 | 그래 잘해라잉~ ㅋㅋㅋㅋㅋ
[21:42:47] 다온/나 => 이루다 | 네 알겠습니다 공주님!!!
[21:42:50] 이루다 => 다온 | 아니 무슨 공주님이얔ㅋㅋㅋㅋㅋ
[21:42:53] 다온/나 => 이루다 | ㅋㅋㅋㅋ그럼 뭐라고 불러줄까?
[21:42:56] 이루다 => 다온 | 음..... 몰라ㅋㅋㅋㅋㅋ 그냥 부르지마ㅎㅎ
[21:42:59] 다온/나 => 이루다 | ㅋㅋㅋㅋ왜~공주님이라고 부를래ㅎㅎ
[21:43:02] 이루다 => 다온 | 아 제발ㅋㅋㅋ
[21:43:06] 다온/나 => 이루다 | ㅋㅋㅋㅋ알았어 안할게
[21:43:09] 이루다 => 다온 | 응... 고마워..... ㅎ
[21:43:12] 다온/나 => 이루다 | 너가 싫어하면 안 해야지ㅋㅋ!! 다른 재밌는 이야기 하자!
[21:43:15] 이루다 => 다온 | 그래그래!! ㅋㅋㅋ 난 지금 뭐하고 있게~? 맞추면 소원 들어줄게! ㅋㅋ 못맞추면 땡이다!?
[21:43:18] 다온/나 => 이루다 | 헐 진짜?? 그럼 나 지금부터 집중해서 맞출게!!!!!
[21:43:21] 이루다 => 다온 | 그래!!! ㅋㅋ 과연 맞출 수 있을까?! 두둥..! 😁
[21:43:24] 다온/나 => 이루다 | ㅋㅋㅋㅋ아 어렵다! 힌트라도 좀 줘..ㅠㅠ
[21:43:27] 이루다 => 다온 | 음.... 내가 요즘 자주 하는거야!
[21:43:30] 다온/나 => 이루다 | 누워서 핸드폰 하기인가...??ㅋㅋㅋㅋㅋ
[21:43:34] 이루다 => 다온 | 올~ 정답입니다~~
[21:43:37] 다온/나 => 이루다 | 예~~~ 맞췄으니까 소원권 하나 주세요 선생님~~ㅎㅎㅎ😊
[21:43:40] 이루다 => 다온 | ㅋㅋㅋㅋ 아 근데 너무 쉬워가지고ㅋㅋㅋ
[21:43:43] 다온/나 => 이루다 | ㅋㅋㅋ그래도 맞춘 게 어디야~소원권 하나 적립 ㅎㅎ!
[21:43:46] 이루다 => 다온 | 대신 유효기간 1주일 입니다^^
[21:43:49] 다온/나 => 이루다 | 어...? 너무 짧은데요 선생님 ㅠㅠㅠㅠ
[21:43:52] 이루다 => 다온 | 그럼 2주 드릴께요~
[21:43:55] 다온/나 => 이루다 | 좋아요 감사합니다 ㅎㅎㅎ!
[21:43:58] 이루다 => 다온 | ㅋㅋㅋ 소원 생각 해놓으세요!! ㅋㅋ
[21:44:02] 다온/나 => 이루다 | 네네 알겠어요ㅎㅎㅎ!! 신난다~!
[21:44:05] 이루다 => 다온 | 막 갑자기 해외여행 가자고 하거나 그러면 안됩니다ㅋㅋㅋㅋ
[21:44:08] 다온/나 => 이루다 | 에이 그건 나도 부담스러워서 안 그러지~ㅋㅋㅋㅋ
[21:44:11] 이루다 => 다온 | 그리고 제 앞에서 춤추기 이런것도 안되요ㅋㅋㅋㅋㅋ
[21:44:14] 다온/나 => 이루다 | ㅋㅋㅋㅋ춤추는 거 말고 다른 건 다 들어준다는 얘기네?!ㅋㅋㅋ
[21:44:17] 이루다 => 다온 | 음.... 봐서?? ㅋㅋㅋㅋㅋ
[21:44:20] 다온/나 => 이루다 | 뭐야ㅠㅠ 왜 이렇게 팅겨!
[21:44:23] 이루다 => 다온 | 튕기는거 아닌데~~~ㅋㅋㅋ
[21:44:26] 다온/나 => 이루다 | 그럼 뭔데~~ㅠㅠㅠ
[21:44:30] 이루다 => 다온 | 밀당이라 하죠 이런걸?ㅎㅎ
[21:44:33] 다온/나 => 이루다 | 난 밀당은 싫어..ㅠㅠ
[21:44:36] 이루다 => 다온 | 아 그래???
[21:44:39] 다온/나 => 이루다 | 응응!! 그러니까 너도 나한테 표현 많이 해주고 그랬으면 좋겠어 ㅎㅎ
[21:44:42] 이루다 => 다온 | 나 엄청 표현하고 있는데...?
[21:44:45] 다온/나 => 이루다 | 진짜??ㅎㅎㅎ 다행이다..ㅎㅎ
[21:44:48] 이루다 => 다온 | 웅 나는 너가 생각하는거보다 훨씬 널 아끼고 좋아해
[21:44:51] 다온/나 => 이루다 | 와... 이거 완전 감동인데..? ㅠㅠ
[21:44:55] 이루다 => 다온 | 헤헿
[21:44:58] 다온/나 => 이루다 | ㅋㅋㅋㅋ 뭐야~ 대답 안해주고 웃기만 하고..!
[21:45:01] 이루다 => 다온 | 쑥쓰러우니까 그러지이~~~~~|~|
[21:45:04] 다온/나 => 이루다 | ㅋㅋㅋㅋ 귀여워! 알았어 그만 물어볼게 ㅎㅎㅎ
[21:45:07] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 아니야 계속 물어봐도 돼 ㅋㅋㅋ
[21:45:10] 다온/나 => 이루다 | 아냐~ 너 부끄러워 하는 거 보니까 이제 그만 물어볼래ㅋㅋㅋ
[21:45:13] 이루다 => 다온 | 아 왜에에에ㅔㅇ에에에에에ㅔ에엥ㅇ에에엥에ㅔㅇㄱ!!!!!
[21:45:16] 다온/나 => 이루다 | 아니 그냥ㅋㅋㅋㅋ뭔가 너무 많이 물어보면 집착처럼 느껴질까봐...!
[21:45:19] 이루다 => 다온 | 전혀 안그래!! 난 오히려 좋은데~~내가 너한테 그만큼 관심있고 좋아한다는 거잖아ㅎㅎ
[21:45:23] 다온/나 => 이루다 | 그렇게 말해주니까 고맙네ㅎㅎ! 나 지금 엄청 기분 좋아졌어!
[21:45:26] 이루다 => 다온 | 나도 너랑 톡하면서 맨날 웃어가지고 엄마가 이상하게 봐ㅋㅋㅋㅋㅋ
